City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,batavia,41.85,-88.3126,50.52,61,0,13.8,US,1731520388
317,charcas,23.1333,-101.1167,73.18,22,15,7.78,MX,1731520388
318,pangody,65.85,74.4859,-6.56,99,93,7.23,RU,1731520388
319,burang,30.25,81.1667,29.07,60,9,4.92,CN,1731520390
320,bel ombre,-4.6167,55.4167,78.64,83,40,2.3,SC,1731520390
321,kolonia town,6.964,158.206,78.8,94,100,0.0,FM,1731520390
322,dauphin,51.1494,-100.0502,42.94,75,0,11.5,CA,1731520390
323,nebbi,2.4783,31.0889,69.06,79,56,5.73,UG,1731520390
324,timmins,48.4669,-81.3331,31.82,80,75,12.66,CA,1731520323
325,vallenar,-28.5708,-70.7581,80.96,27,1,12.06,CL,1731520390
326,yarkovo,57.4028,67.0786,4.69,96,22,3.33,RU,1731520390
327,pitimbu,-7.4706,-34.8086,80.94,63,16,12.95,BR,1731520390
328,sena madureira,-9.0656,-68.6569,85.35,58,100,5.84,BR,1731520391
329,saudarkrokur,65.7461,-19.6394,38.8,85,26,15.84,IS,1731520391
330,ibirite,-20.0219,-44.0589,74.16,73,90,4.68,BR,1731520391
331,ubinskoye,55.3068,79.6802,16.03,95,100,8.21,RU,1731520391
332,carrigaline,51.8117,-8.3986,47.61,87,40,8.05,IE,1731520391
333,amursk,50.2261,136.8994,22.28,75,92,11.18,RU,1731520391
334,sensuntepeque,13.8667,-88.6333,80.19,66,99,1.57,SV,1731520391
335,coron,11.9986,120.2043,76.77,86,100,3.02,PH,1731520391
336,bilari,28.6333,78.8,70.25,38,0,2.08,IN,1731520391
337,formosa do rio preto,-11.0483,-45.1931,86.97,52,41,3.78,BR,1731520391
338,auki,-8.7676,160.7034,77.09,85,99,3.27,SB,1731520392
339,ghat,24.9647,10.1728,72.88,12,57,4.7,LY,1731520392
340,codrington,-38.2667,141.9667,48.81,76,69,7.29,AU,1731520392
341,hammerfest,70.6634,23.6821,37.85,87,75,21.85,NO,1731520392
342,margate,51.3813,1.3862,49.69,84,92,7.67,GB,1731520392
343,tosya,41.0155,34.0401,46.15,65,63,2.39,TR,1731520392
344,novodvinsk,64.4165,40.8122,33.55,90,100,11.52,RU,1731520392
345,grand falls-windsor,48.9332,-55.6649,33.51,91,100,5.01,CA,1731520392
346,manado,1.487,124.8455,75.97,94,20,2.3,ID,1731520392
347,kudahuvadhoo,2.6708,72.8944,83.08,69,55,6.67,MV,1731520394
348,nagqu,31.5,92.0,24.42,29,58,0.72,CN,1731520394
349,seven pagodas,12.6264,80.1722,79.02,86,96,7.11,IN,1731520394
350,sanchursk,56.9413,47.2499,31.32,95,99,8.1,RU,1731520394
351,prado,-17.3411,-39.2208,81.72,73,41,18.07,BR,1731520394
352,esquel,-42.9,-71.3167,55.58,71,97,8.39,AR,1731520394
353,sumenep,-7.0167,113.8667,81.7,74,93,7.31,ID,1731520394
354,zav'yalovo,56.7847,53.3776,27.39,86,99,9.6,RU,1731520394
355,uray,60.1247,64.7758,8.17,84,87,6.15,RU,1731520395
356,kununurra,-15.7667,128.7333,80.58,74,75,1.14,AU,1731520395
357,anton lizardo,19.05,-95.9833,85.21,74,92,2.89,MX,1731520395
358,alesund,62.4723,6.1549,49.75,88,75,18.41,NO,1731520395
359,morondava,-20.2833,44.2833,81.18,72,39,15.46,MG,1731520395
360,ibotirama,-12.1853,-43.2206,80.13,68,95,2.93,BR,1731520395
361,cam ranh,11.9214,109.1591,76.96,94,20,3.44,VN,1731520395
362,hasaki,35.7333,140.8333,63.66,59,92,11.72,JP,1731520395
363,enewetak,11.3474,162.3373,82.92,75,28,16.96,MH,1731520395
364,oppdal,62.5943,9.6912,36.36,93,97,1.7,NO,1731520396
365,veinticinco de mayo,-35.4323,-60.1727,82.98,32,37,3.0,AR,1731520396
366,yushu,44.8,126.5333,41.16,63,100,9.06,CN,1731520396
367,tucurui,-3.7661,-49.6725,91.69,45,96,3.02,BR,1731520396
368,askoy,60.4092,5.226,46.76,93,75,0.0,NO,1731520396
369,tashtagol,52.7657,87.8894,10.9,93,100,1.52,RU,1731520396
370,xinji,37.9028,115.2036,52.27,96,100,3.31,CN,1731520396
371,el jadid,33.2549,-8.506,66.07,67,100,9.66,MA,1731520396
372,qorovulbozor,39.5006,64.7936,39.65,45,65,14.0,UZ,1731520396
373,thinadhoo,0.5333,72.9333,82.36,77,26,10.51,MV,1731520396
374,poronaysk,49.2167,143.1167,25.83,62,29,7.0,RU,1731520397
375,qaisumah,28.3112,46.1273,67.96,45,0,4.61,SA,1731520397
376,penzance,50.1186,-5.5371,48.88,76,70,10.2,GB,1731520397
377,guane,22.2025,-84.0875,87.51,59,42,13.44,CU,1731520397
378,paarl,-33.7338,18.9752,65.05,55,0,11.25,ZA,1731520397
379,coro,11.4045,-69.6734,84.07,71,100,10.54,VE,1731520397
380,gobabis,-22.45,18.9667,83.35,10,42,15.43,,1731520397
381,reyes,-14.3167,-67.3833,78.76,65,75,0.0,BO,1731520397
382,beacon square,28.2086,-82.7554,86.14,63,4,7.0,US,1731520397
383,dwarka,22.2394,68.9678,81.12,64,0,10.92,IN,1731520398
384,guerrero negro,27.9769,-114.0611,72.23,35,0,4.65,MX,1731520320
385,tchintabaraden,15.8969,5.7985,85.6,19,35,8.79,NE,1731520398
386,zhalantun,48.0,122.7167,27.43,57,13,1.88,CN,1731520399
387,vorgashor,67.5833,63.95,-13.72,100,83,5.44,RU,1731520399
388,shchyolkino,45.4291,35.8223,45.34,87,100,8.7,UA,1731520399
389,brandon,27.9378,-82.2859,86.02,67,40,10.36,US,1731520150
390,guankou,28.15,113.6333,67.82,79,1,3.13,CN,1731520400
391,port saint john's,-31.6229,29.5448,65.1,79,87,13.62,ZA,1731520400
392,odacho-oda,35.1833,132.5,54.7,75,18,8.81,JP,1731520401
393,phibun mangsahan,15.2447,105.2291,76.53,85,67,3.24,TH,1731520401
394,karasu,41.071,30.7854,55.58,88,100,5.55,TR,1731520401
395,hpa-an,16.8906,97.6333,74.37,90,2,0.72,MM,1731520401
396,tokat,40.4167,36.5833,44.31,63,100,3.2,TR,1731520401
397,pavlohrad,48.5167,35.8667,38.61,69,100,4.97,UA,1731520403
398,kavieng,-2.5744,150.7967,81.03,78,44,12.3,PG,1731520403
399,antofagasta,-23.65,-70.4,67.28,66,10,8.23,CL,1731520252
400,bengkulu,-3.8004,102.2655,76.93,91,100,3.91,ID,1731520403
401,totness,5.8833,-56.3167,85.57,68,98,11.39,SR,1731520403
402,port-gentil,-0.7193,8.7815,80.56,89,100,9.22,GA,1731520403
403,freetown,8.484,-13.2299,80.96,75,92,5.21,SL,1731520403
404,santa ana de yacuma,-13.75,-65.4333,80.55,47,40,13.8,BO,1731520404
405,masaya sur,16.497,121.7456,73.2,98,100,1.74,PH,1731520404
406,rio grande,-32.035,-52.0986,74.39,47,34,8.14,BR,1731520366
407,kukuna,9.4,-12.6667,82.38,74,98,4.5,SL,1731520407
408,sola,-13.8833,167.55,80.64,82,100,13.29,VU,1731520408
409,derzhavinsk,51.1,66.3167,19.26,86,99,7.05,KZ,1731520408
410,paulista florida,-21.6,-51.2,84.6,45,58,6.31,BR,1731520408
411,higuera de zaragoza,25.95,-109.2833,80.42,26,0,13.65,MX,1731520408
412,antonio enes,-16.2325,39.9086,79.74,84,10,9.86,MZ,1731520408
413,curumani,9.1999,-73.5427,81.19,91,49,2.8,CO,1731520408
414,galliano,29.4422,-90.2992,77.0,88,100,8.05,US,1731520408
415,ar ruways,24.1103,52.7306,80.22,67,0,12.53,AE,1731520408
416,vitorino freire,-4.0667,-45.1667,97.74,31,56,10.25,BR,1731520408
417,zimovniki,47.1483,42.4633,35.37,79,72,9.01,RU,1731520409
418,nabire,-3.3667,135.4833,74.77,93,84,3.2,ID,1731520409
419,cooma,-36.2333,149.1333,51.53,93,91,1.81,AU,1731520409
420,melykut,46.2151,19.381,38.55,68,92,4.12,HU,1731520409
421,remire-montjoly,4.9167,-52.2667,87.84,66,75,13.8,GF,1731520409
422,mansa,29.9833,75.3833,69.42,31,54,3.38,IN,1731520409
423,la'ie,21.6477,-157.9253,76.1,84,70,11.99,US,1731520409
424,aykhal,66.0,111.5,-18.38,100,64,8.41,RU,1731520411
425,ndende,-2.4008,11.3581,76.3,93,97,1.41,GA,1731520411
426,recani,31.2846,-4.2688,71.13,25,67,17.54,MA,1731520411
427,mariinsk,56.2139,87.7472,15.6,78,99,9.4,RU,1731520411
428,dolinsk,47.35,142.8,27.27,66,3,6.91,RU,1731520411
429,kayyerkan,69.3786,87.7439,-9.99,98,100,3.91,RU,1731520411
430,calingasta,-31.3308,-69.4078,89.08,13,12,13.47,AR,1731520411
431,fort bragg,35.139,-79.006,61.68,50,0,4.61,US,1731520400
432,port alfred,-33.5906,26.891,63.18,79,83,1.01,ZA,1731520411
433,makhambet,47.6667,51.5833,31.71,47,63,7.4,KZ,1731520412
434,mount isa,-20.7333,139.5,85.77,21,63,9.22,AU,1731520412
435,elk city,35.412,-99.4043,61.02,44,0,26.46,US,1731520412
436,yendi,9.4427,-0.0099,86.83,32,46,1.74,GH,1731520412
437,almora,29.6167,79.6667,53.29,78,6,0.98,IN,1731520412
438,novyy urgal,51.0736,132.5642,12.42,90,100,3.31,RU,1731520413
439,tsiombe,-25.3,45.4833,76.53,77,77,11.07,MG,1731520413
440,maharaganj,27.1333,83.5667,70.3,56,0,2.19,IN,1731520414
441,uthal,25.8072,66.6219,78.48,66,0,4.27,PK,1731520414
442,cole harbour,44.6724,-63.4751,38.71,57,75,33.38,CA,1731520414
443,tolanaro,-25.0319,46.9987,78.87,89,40,11.5,MG,1731520414
